record_id,timestamp,motor_id,rpm,temperature_c,vibration_mm_s,current_a,fault_label,severity,work_order,maintenance_report,model,temperature,top_p,prompt_template,validation_status
77,2026-01-20T00:00:00,MTR-1001,2474,52.0,1.49,40.0,Operação normal,baixa,WO-20260076,"Inspeção do motor MTR-1001: temperatura 52.0°C, vibração 1.49 mm/s, corrente 40.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.9,few_shot_os_v2,aprovado
78,2026-01-20T06:00:00,MTR-1002,1511,83.5,10.59,34.4,Desbalanceamento de rotor,alta,WO-20260077,"Inspeção do motor MTR-1002: temperatura 83.5°C, vibração 10.59 mm/s, corrente 34.4 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.95,zero_shot_diag_v1,aprovado
79,2026-01-20T12:00:00,MTR-1003,3518,95.9,5.12,49.3,Operação normal,baixa,WO-20260078,"Inspeção do motor MTR-1003: temperatura 95.9°C, vibração 5.12 mm/s, corrente 49.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.95,cot_analysis_v1,aprovado
80,2026-01-20T18:00:00,MTR-1004,1251,100.2,10.49,23.4,Sobreaquecimento com desalinhamento,alta,WO-20260079,"Inspeção do motor MTR-1004: temperatura 100.2°C, vibração 10.49 mm/s, corrente 23.4 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.7,0.9,few_shot_os_v2,aprovado
81,2026-01-21T00:00:00,MTR-1005,3337,107.8,4.25,79.7,Operação normal,baixa,WO-20260080,"Inspeção do motor MTR-1005: temperatura 107.8°C, vibração 4.25 mm/s, corrente 79.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.9,roleplay_engineer_v1,aprovado
82,2026-01-21T06:00:00,MTR-1006,2299,65.9,3.97,89.8,Sobrecorrente por atrito mecânico,alta,WO-20260081,"Inspeção do motor MTR-1006: temperatura 65.9°C, vibração 3.97 mm/s, corrente 89.8 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.4,0.85,roleplay_engineer_v1,aprovado
83,2026-01-21T12:00:00,MTR-1007,2752,66.9,6.79,41.0,Operação normal,baixa,WO-20260082,"Inspeção do motor MTR-1007: temperatura 66.9°C, vibração 6.79 mm/s, corrente 41.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.9,cot_analysis_v1,aprovado
84,2026-01-21T18:00:00,MTR-1008,2594,63.2,7.94,85.4,Sobrecorrente por atrito mecânico,alta,WO-20260083,"Inspeção do motor MTR-1008: temperatura 63.2°C, vibração 7.94 mm/s, corrente 85.4 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.2,0.95,few_shot_os_v2,aprovado
85,2026-01-22T00:00:00,MTR-1009,2864,76.8,9.77,70.2,Operação normal,baixa,WO-20260084,"Inspeção do motor MTR-1009: temperatura 76.8°C, vibração 9.77 mm/s, corrente 70.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.9,roleplay_engineer_v1,aprovado
86,2026-01-22T06:00:00,MTR-1010,1270,51.0,3.7,70.3,Operação normal,baixa,WO-20260085,"Inspeção do motor MTR-1010: temperatura 51.0°C, vibração 3.7 mm/s, corrente 70.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.95,cot_analysis_v1,aprovado
87,2026-01-22T12:00:00,MTR-1011,3138,81.0,5.08,94.7,Sobrecorrente por atrito mecânico,alta,WO-20260086,"Inspeção do motor MTR-1011: temperatura 81.0°C, vibração 5.08 mm/s, corrente 94.7 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.9,roleplay_engineer_v1,aprovado
88,2026-01-22T18:00:00,MTR-1012,2229,60.0,9.35,40.2,Operação normal,baixa,WO-20260087,"Inspeção do motor MTR-1012: temperatura 60.0°C, vibração 9.35 mm/s, corrente 40.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.95,few_shot_os_v2,aprovado
89,2026-01-23T00:00:00,MTR-1013,1984,59.1,6.67,73.0,Operação normal,baixa,WO-20260088,"Inspeção do motor MTR-1013: temperatura 59.1°C, vibração 6.67 mm/s, corrente 73.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.9,zero_shot_diag_v1,aprovado
90,2026-01-23T06:00:00,MTR-1014,1995,64.3,5.28,39.2,Operação normal,baixa,WO-20260089,"Inspeção do motor MTR-1014: temperatura 64.3°C, vibração 5.28 mm/s, corrente 39.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.85,cot_analysis_v1,aprovado
91,2026-01-23T12:00:00,MTR-1015,1386,108.3,7.45,70.8,Operação normal,baixa,WO-20260090,"Inspeção do motor MTR-1015: temperatura 108.3°C, vibração 7.45 mm/s, corrente 70.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.7,0.9,zero_shot_diag_v1,aprovado
92,2026-01-23T18:00:00,MTR-1016,1250,82.3,6.5,50.2,Operação normal,baixa,WO-20260091,"Inspeção do motor MTR-1016: temperatura 82.3°C, vibração 6.5 mm/s, corrente 50.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.9,roleplay_engineer_v1,aprovado
93,2026-01-24T00:00:00,MTR-1017,1667,98.4,5.73,20.9,Operação normal,baixa,WO-20260092,"Inspeção do motor MTR-1017: temperatura 98.4°C, vibração 5.73 mm/s, corrente 20.9 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.85,few_shot_os_v2,aprovado
94,2026-01-24T06:00:00,MTR-1018,1811,97.7,11.93,21.8,Sobreaquecimento com desalinhamento,alta,WO-20260093,"Inspeção do motor MTR-1018: temperatura 97.7°C, vibração 11.93 mm/s, corrente 21.8 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.2,0.95,roleplay_engineer_v1,aprovado
95,2026-01-24T12:00:00,MTR-1019,2124,95.4,5.5,87.7,Sobrecorrente por atrito mecânico,alta,WO-20260094,"Inspeção do motor MTR-1019: temperatura 95.4°C, vibração 5.5 mm/s, corrente 87.7 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.7,0.9,cot_analysis_v1,aprovado
96,2026-01-24T18:00:00,MTR-1020,1446,84.6,9.56,90.8,Sobrecorrente por atrito mecânico,alta,WO-20260095,"Inspeção do motor MTR-1020: temperatura 84.6°C, vibração 9.56 mm/s, corrente 90.8 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.85,cot_analysis_v1,aprovado
97,2026-01-25T00:00:00,MTR-1021,1843,60.6,7.44,27.5,Operação normal,baixa,WO-20260096,"Inspeção do motor MTR-1021: temperatura 60.6°C, vibração 7.44 mm/s, corrente 27.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.95,roleplay_engineer_v1,aprovado
98,2026-01-25T06:00:00,MTR-1022,2392,47.1,4.46,37.6,Operação normal,baixa,WO-20260097,"Inspeção do motor MTR-1022: temperatura 47.1°C, vibração 4.46 mm/s, corrente 37.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.95,few_shot_os_v2,aprovado
99,2026-01-25T12:00:00,MTR-1023,2283,96.2,8.26,67.9,Sobreaquecimento com desalinhamento,alta,WO-20260098,"Inspeção do motor MTR-1023: temperatura 96.2°C, vibração 8.26 mm/s, corrente 67.9 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.4,0.85,few_shot_os_v2,aprovado
100,2026-01-25T18:00:00,MTR-1024,2288,98.7,2.01,28.3,Operação normal,baixa,WO-20260099,"Inspeção do motor MTR-1024: temperatura 98.7°C, vibração 2.01 mm/s, corrente 28.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.95,cot_analysis_v1,aprovado
101,2026-01-26T00:00:00,MTR-1000,2998,53.1,8.98,71.0,Operação normal,baixa,WO-20260100,"Inspeção do motor MTR-1000: temperatura 53.1°C, vibração 8.98 mm/s, corrente 71.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.95,roleplay_engineer_v1,aprovado
102,2026-01-26T06:00:00,MTR-1001,2993,50.2,1.65,49.6,Operação normal,baixa,WO-20260101,"Inspeção do motor MTR-1001: temperatura 50.2°C, vibração 1.65 mm/s, corrente 49.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.9,zero_shot_diag_v1,aprovado
103,2026-01-26T12:00:00,MTR-1002,1574,59.9,8.82,83.8,Operação normal,baixa,WO-20260102,"Inspeção do motor MTR-1002: temperatura 59.9°C, vibração 8.82 mm/s, corrente 83.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.95,cot_analysis_v1,aprovado
104,2026-01-26T18:00:00,MTR-1003,3560,47.6,9.75,52.6,Operação normal,baixa,WO-20260103,"Inspeção do motor MTR-1003: temperatura 47.6°C, vibração 9.75 mm/s, corrente 52.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.9,few_shot_os_v2,aprovado
105,2026-01-27T00:00:00,MTR-1004,3597,73.3,10.4,92.5,Sobrecorrente por atrito mecânico,alta,WO-20260104,"Inspeção do motor MTR-1004: temperatura 73.3°C, vibração 10.4 mm/s, corrente 92.5 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.4,0.9,cot_analysis_v1,aprovado
106,2026-01-27T06:00:00,MTR-1005,1628,100.8,4.93,70.5,Operação normal,baixa,WO-20260105,"Inspeção do motor MTR-1005: temperatura 100.8°C, vibração 4.93 mm/s, corrente 70.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.9,zero_shot_diag_v1,aprovado
107,2026-01-27T12:00:00,MTR-1006,3062,50.7,4.05,24.3,Operação normal,baixa,WO-20260106,"Inspeção do motor MTR-1006: temperatura 50.7°C, vibração 4.05 mm/s, corrente 24.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.85,roleplay_engineer_v1,aprovado
108,2026-01-27T18:00:00,MTR-1007,2892,48.5,7.06,64.8,Operação normal,baixa,WO-20260107,"Inspeção do motor MTR-1007: temperatura 48.5°C, vibração 7.06 mm/s, corrente 64.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.9,zero_shot_diag_v1,aprovado
109,2026-01-28T00:00:00,MTR-1008,2033,62.4,2.68,38.0,Operação normal,baixa,WO-20260108,"Inspeção do motor MTR-1008: temperatura 62.4°C, vibração 2.68 mm/s, corrente 38.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.85,zero_shot_diag_v1,aprovado
110,2026-01-28T06:00:00,MTR-1009,2180,91.1,4.71,16.1,Operação normal,baixa,WO-20260109,"Inspeção do motor MTR-1009: temperatura 91.1°C, vibração 4.71 mm/s, corrente 16.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.85,zero_shot_diag_v1,aprovado
111,2026-01-28T12:00:00,MTR-1010,3090,106.6,8.52,27.3,Sobreaquecimento com desalinhamento,alta,WO-20260110,"Inspeção do motor MTR-1010: temperatura 106.6°C, vibração 8.52 mm/s, corrente 27.3 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.95,cot_analysis_v1,aprovado
112,2026-01-28T18:00:00,MTR-1011,3176,108.7,3.95,59.1,Operação normal,baixa,WO-20260111,"Inspeção do motor MTR-1011: temperatura 108.7°C, vibração 3.95 mm/s, corrente 59.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.95,few_shot_os_v2,aprovado
113,2026-01-29T00:00:00,MTR-1012,1485,63.0,10.13,48.2,Desbalanceamento de rotor,alta,WO-20260112,"Inspeção do motor MTR-1012: temperatura 63.0°C, vibração 10.13 mm/s, corrente 48.2 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.85,cot_analysis_v1,aprovado
114,2026-01-29T06:00:00,MTR-1013,3575,109.9,6.73,26.9,Operação normal,baixa,WO-20260113,"Inspeção do motor MTR-1013: temperatura 109.9°C, vibração 6.73 mm/s, corrente 26.9 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.9,cot_analysis_v1,aprovado
115,2026-01-29T12:00:00,MTR-1014,3460,94.6,5.46,89.6,Sobrecorrente por atrito mecânico,alta,WO-20260114,"Inspeção do motor MTR-1014: temperatura 94.6°C, vibração 5.46 mm/s, corrente 89.6 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.85,roleplay_engineer_v1,aprovado
116,2026-01-29T18:00:00,MTR-1015,2882,47.8,9.62,71.4,Operação normal,baixa,WO-20260115,"Inspeção do motor MTR-1015: temperatura 47.8°C, vibração 9.62 mm/s, corrente 71.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.95,few_shot_os_v2,aprovado
117,2026-01-30T00:00:00,MTR-1016,3228,107.7,2.63,92.2,Sobrecorrente por atrito mecânico,alta,WO-20260116,"Inspeção do motor MTR-1016: temperatura 107.7°C, vibração 2.63 mm/s, corrente 92.2 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.2,0.9,zero_shot_diag_v1,aprovado
118,2026-01-30T06:00:00,MTR-1017,3071,46.0,2.83,84.7,Operação normal,baixa,WO-20260117,"Inspeção do motor MTR-1017: temperatura 46.0°C, vibração 2.83 mm/s, corrente 84.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.9,cot_analysis_v1,aprovado
119,2026-01-30T12:00:00,MTR-1018,2586,85.5,5.69,21.4,Operação normal,baixa,WO-20260118,"Inspeção do motor MTR-1018: temperatura 85.5°C, vibração 5.69 mm/s, corrente 21.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.95,roleplay_engineer_v1,aprovado
120,2026-01-30T18:00:00,MTR-1019,2497,85.7,11.23,54.0,Desbalanceamento de rotor,alta,WO-20260119,"Inspeção do motor MTR-1019: temperatura 85.7°C, vibração 11.23 mm/s, corrente 54.0 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.2,0.95,zero_shot_diag_v1,aprovado
121,2026-01-31T00:00:00,MTR-1020,2377,109.8,9.64,49.7,Sobreaquecimento com desalinhamento,alta,WO-20260120,"Inspeção do motor MTR-1020: temperatura 109.8°C, vibração 9.64 mm/s, corrente 49.7 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.95,zero_shot_diag_v1,aprovado
122,2026-01-31T06:00:00,MTR-1021,2426,103.7,1.72,78.7,Operação normal,baixa,WO-20260121,"Inspeção do motor MTR-1021: temperatura 103.7°C, vibração 1.72 mm/s, corrente 78.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.4,0.9,roleplay_engineer_v1,aprovado
123,2026-01-31T12:00:00,MTR-1022,1796,60.9,5.86,69.5,Operação normal,baixa,WO-20260122,"Inspeção do motor MTR-1022: temperatura 60.9°C, vibração 5.86 mm/s, corrente 69.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.85,zero_shot_diag_v1,aprovado
124,2026-01-31T18:00:00,MTR-1023,2766,85.3,3.92,88.0,Sobrecorrente por atrito mecânico,alta,WO-20260123,"Inspeção do motor MTR-1023: temperatura 85.3°C, vibração 3.92 mm/s, corrente 88.0 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.2,0.9,cot_analysis_v1,aprovado
125,2026-02-01T00:00:00,MTR-1024,1238,103.4,6.46,38.0,Operação normal,baixa,WO-20260124,"Inspeção do motor MTR-1024: temperatura 103.4°C, vibração 6.46 mm/s, corrente 38.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.85,roleplay_engineer_v1,aprovado
126,2026-02-01T06:00:00,MTR-1000,2615,109.2,4.58,92.0,Sobrecorrente por atrito mecânico,alta,WO-20260125,"Inspeção do motor MTR-1000: temperatura 109.2°C, vibração 4.58 mm/s, corrente 92.0 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.9,cot_analysis_v1,aprovado
127,2026-02-01T12:00:00,MTR-1001,2775,100.5,2.41,45.5,Operação normal,baixa,WO-20260126,"Inspeção do motor MTR-1001: temperatura 100.5°C, vibração 2.41 mm/s, corrente 45.5 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.9,cot_analysis_v1,aprovado
128,2026-02-01T18:00:00,MTR-1002,1289,108.6,8.64,37.0,Sobreaquecimento com desalinhamento,alta,WO-20260127,"Inspeção do motor MTR-1002: temperatura 108.6°C, vibração 8.64 mm/s, corrente 37.0 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.7,0.95,zero_shot_diag_v1,aprovado
129,2026-02-02T00:00:00,MTR-1003,3234,99.1,11.4,77.1,Sobreaquecimento com desalinhamento,alta,WO-20260128,"Inspeção do motor MTR-1003: temperatura 99.1°C, vibração 11.4 mm/s, corrente 77.1 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.9,few_shot_os_v2,aprovado
130,2026-02-02T06:00:00,MTR-1004,2226,89.1,9.35,67.7,Operação normal,baixa,WO-20260129,"Inspeção do motor MTR-1004: temperatura 89.1°C, vibração 9.35 mm/s, corrente 67.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.7,0.85,zero_shot_diag_v1,aprovado
131,2026-02-02T12:00:00,MTR-1005,2465,96.3,1.58,44.2,Operação normal,baixa,WO-20260130,"Inspeção do motor MTR-1005: temperatura 96.3°C, vibração 1.58 mm/s, corrente 44.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.9,cot_analysis_v1,aprovado
132,2026-02-02T18:00:00,MTR-1006,2901,56.4,2.69,58.2,Operação normal,baixa,WO-20260131,"Inspeção do motor MTR-1006: temperatura 56.4°C, vibração 2.69 mm/s, corrente 58.2 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.7,0.95,cot_analysis_v1,aprovado
133,2026-02-03T00:00:00,MTR-1007,1873,61.7,10.52,53.5,Desbalanceamento de rotor,alta,WO-20260132,"Inspeção do motor MTR-1007: temperatura 61.7°C, vibração 10.52 mm/s, corrente 53.5 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.7,0.9,zero_shot_diag_v1,aprovado
134,2026-02-03T06:00:00,MTR-1008,1508,54.1,12.12,83.8,Desbalanceamento de rotor,alta,WO-20260133,"Inspeção do motor MTR-1008: temperatura 54.1°C, vibração 12.12 mm/s, corrente 83.8 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.7,0.9,cot_analysis_v1,aprovado
135,2026-02-03T12:00:00,MTR-1009,2816,45.9,7.26,51.4,Operação normal,baixa,WO-20260134,"Inspeção do motor MTR-1009: temperatura 45.9°C, vibração 7.26 mm/s, corrente 51.4 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.95,cot_analysis_v1,aprovado
136,2026-02-03T18:00:00,MTR-1010,3594,69.8,8.42,44.7,Operação normal,baixa,WO-20260135,"Inspeção do motor MTR-1010: temperatura 69.8°C, vibração 8.42 mm/s, corrente 44.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.9,zero_shot_diag_v1,aprovado
137,2026-02-04T00:00:00,MTR-1011,3499,66.3,8.09,66.8,Operação normal,baixa,WO-20260136,"Inspeção do motor MTR-1011: temperatura 66.3°C, vibração 8.09 mm/s, corrente 66.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.95,cot_analysis_v1,aprovado
138,2026-02-04T06:00:00,MTR-1012,2872,52.6,1.71,18.0,Operação normal,baixa,WO-20260137,"Inspeção do motor MTR-1012: temperatura 52.6°C, vibração 1.71 mm/s, corrente 18.0 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.85,few_shot_os_v2,aprovado
139,2026-02-04T12:00:00,MTR-1013,3401,53.8,6.33,68.6,Operação normal,baixa,WO-20260138,"Inspeção do motor MTR-1013: temperatura 53.8°C, vibração 6.33 mm/s, corrente 68.6 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.7,0.95,roleplay_engineer_v1,aprovado
140,2026-02-04T18:00:00,MTR-1014,1832,102.6,8.6,81.7,Sobreaquecimento com desalinhamento,alta,WO-20260139,"Inspeção do motor MTR-1014: temperatura 102.6°C, vibração 8.6 mm/s, corrente 81.7 A. Diagnóstico: Sobreaquecimento com desalinhamento. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.4,0.9,zero_shot_diag_v1,aprovado
141,2026-02-05T00:00:00,MTR-1015,2089,73.8,11.94,83.4,Desbalanceamento de rotor,alta,WO-20260140,"Inspeção do motor MTR-1015: temperatura 73.8°C, vibração 11.94 mm/s, corrente 83.4 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.7,0.9,cot_analysis_v1,aprovado
142,2026-02-05T06:00:00,MTR-1016,2330,57.3,2.58,82.8,Operação normal,baixa,WO-20260141,"Inspeção do motor MTR-1016: temperatura 57.3°C, vibração 2.58 mm/s, corrente 82.8 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",llama-3.1-8b-instruct,0.2,0.95,few_shot_os_v2,aprovado
143,2026-02-05T12:00:00,MTR-1017,1287,48.3,4.97,94.1,Sobrecorrente por atrito mecânico,alta,WO-20260142,"Inspeção do motor MTR-1017: temperatura 48.3°C, vibração 4.97 mm/s, corrente 94.1 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gemma-2-9b-it,0.2,0.85,few_shot_os_v2,aprovado
144,2026-02-05T18:00:00,MTR-1018,2154,66.4,2.87,87.0,Sobrecorrente por atrito mecânico,alta,WO-20260143,"Inspeção do motor MTR-1018: temperatura 66.4°C, vibração 2.87 mm/s, corrente 87.0 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",gpt-4.1-mini,0.4,0.85,few_shot_os_v2,aprovado
145,2026-02-06T00:00:00,MTR-1019,1914,52.1,10.99,25.5,Desbalanceamento de rotor,alta,WO-20260144,"Inspeção do motor MTR-1019: temperatura 52.1°C, vibração 10.99 mm/s, corrente 25.5 A. Diagnóstico: Desbalanceamento de rotor. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.2,0.95,cot_analysis_v1,revisar
146,2026-02-06T06:00:00,MTR-1020,2286,48.4,9.58,57.1,Operação normal,baixa,WO-20260145,"Inspeção do motor MTR-1020: temperatura 48.4°C, vibração 9.58 mm/s, corrente 57.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.9,roleplay_engineer_v1,aprovado
147,2026-02-06T12:00:00,MTR-1021,2682,78.4,2.43,55.3,Operação normal,baixa,WO-20260146,"Inspeção do motor MTR-1021: temperatura 78.4°C, vibração 2.43 mm/s, corrente 55.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.2,0.95,cot_analysis_v1,aprovado
148,2026-02-06T18:00:00,MTR-1022,3076,86.8,1.55,94.9,Sobrecorrente por atrito mecânico,alta,WO-20260147,"Inspeção do motor MTR-1022: temperatura 86.8°C, vibração 1.55 mm/s, corrente 94.9 A. Diagnóstico: Sobrecorrente por atrito mecânico. Ação recomendada: realinhar e lubrificar.",llama-3.1-8b-instruct,0.4,0.95,zero_shot_diag_v1,aprovado
149,2026-02-07T00:00:00,MTR-1023,3016,49.8,2.11,63.7,Operação normal,baixa,WO-20260148,"Inspeção do motor MTR-1023: temperatura 49.8°C, vibração 2.11 mm/s, corrente 63.7 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.2,0.9,cot_analysis_v1,aprovado
150,2026-02-07T06:00:00,MTR-1024,2760,109.7,7.2,51.3,Operação normal,baixa,WO-20260149,"Inspeção do motor MTR-1024: temperatura 109.7°C, vibração 7.2 mm/s, corrente 51.3 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.85,zero_shot_diag_v1,aprovado
151,2026-02-07T12:00:00,MTR-1000,3458,91.9,3.63,51.1,Operação normal,baixa,WO-20260150,"Inspeção do motor MTR-1000: temperatura 91.9°C, vibração 3.63 mm/s, corrente 51.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gpt-4.1-mini,0.4,0.9,roleplay_engineer_v1,aprovado
152,2026-02-07T18:00:00,MTR-1001,2833,72.0,2.27,49.1,Operação normal,baixa,WO-20260151,"Inspeção do motor MTR-1001: temperatura 72.0°C, vibração 2.27 mm/s, corrente 49.1 A. Diagnóstico: Operação normal. Ação recomendada: manter monitoramento padrão.",gemma-2-9b-it,0.4,0.9,few_shot_os_v2,aprovado
